question_asked,answer_given,top_match,answer_taught,category,question_type,date_received,date_responded,response_time,processed_by,dialogflow_answers
non landed residentialvrental data,,,General information on property market,,No Feedback,10/5/2019 16:48,1/13/2020 13:00,100,Benjamin Chow,General info on buying and renovating private residential properties
i would to know the rental market yield,General information on property market,Top Match,General information on property market,,No Feedback,10/10/2019 17:43,1/13/2020 12:59,95,Benjamin Chow,Where can I find information on Singapore Property market?
rental,Catch all,Top Match,Catch all,,No Feedback,10/7/2019 16:30,1/13/2020 12:59,98,Benjamin Chow,General info on renting private residential property
Hi i would like to do a rental booking of the facilities hall,Catch all,Top Match,Are URA's conference and training facilities available for public to rent?,URA Rental,No Feedback,11/7/2019 8:38,1/13/2020 12:59,67,Benjamin Chow,Are URA's conference and training facilities available for public to rent?
when are the rental contract of private residential properties updated,,,General information on property market,,No Feedback,10/15/2019 11:02,1/13/2020 12:57,90,Benjamin Chow,General info on renting private residential property
when are the rental contract of private residential properties monthly report updated,,,General information on property market,,No Feedback,10/15/2019 11:03,1/13/2020 12:57,90,Benjamin Chow,General info on renting private residential property
Am I permitted to rental out private property under coliving arrangement,,,General info on renting private residential property,,No Feedback,10/27/2019 17:09,1/13/2020 12:56,78,Benjamin Chow,General info on renting private residential property
venue rental,Are URA's conference and training facilities available for public to rent?,Top Match,Are URA's conference and training facilities available for public to rent?,URA Rental,Incorrect,10/30/2019 11:46,1/13/2020 12:56,75,Benjamin Chow,General info on renting private residential property
i would like to transfer season parking temporarily to a rental car because new car not ready,,,Car Parks-Season Parking-Transfer,,No Feedback,11/15/2019 21:10,1/13/2020 12:56,59,Benjamin Chow,Car Parks-Season Parking-Transfer
Is car rental and chauffeur services allowed under the home office scheme,General Info on Home Business,Top Match,General Info on Home Business,,No Feedback,11/20/2019 17:09,1/13/2020 12:55,54,Benjamin Chow,General Info on Home Business
I am looking for private rental transaction history for a particular development and no records are shown,Catch all,,General info for feedback on e-Service errors,,No Feedback,12/16/2019 10:38,1/13/2020 12:53,28,Benjamin Chow,General info for feedback on e-Service errors
rental of trailer parking,(UPL) How do I apply for trailer parking?,Top Match,(UPL) How do I apply for trailer parking?,Car Parks,Incorrect,12/30/2019 9:03,1/13/2020 12:53,14,Benjamin Chow,(SPT) What is the difference between reserved parking lots and Season Parking Tickets for heavy vehicles?
For Bugis Cube at Victoria Street do the shop owners need to apply for change of use from a shop to a KTV or PUB,Do I have to submit for change of use approval if there is a change in tenant or owner of the property?,Top Match,How can I check the approved use of a premises?,Development Control > Change of Use,No Feedback,10/2/2019 12:08,1/13/2020 12:25,103,Benjamin Chow,Do I have to submit for change of use approval if there is a change in tenant or owner of the property?
The unit at Bugis Cube was for retail before Now the ownertenant want to use it for entertainment purpose as KTVPUB Is application for change of use,Do I have to submit for change of use approval if there is a change in tenant or owner of the property?,Top Match,How can I check the approved use of a premises?,Development Control > Change of Use,No Feedback,10/2/2019 12:10,1/13/2020 12:25,103,Benjamin Chow,Do I have to submit for change of use approval if there is a change in tenant or owner of the property?
event application,"I'm interested to organise an event at Marina Bay, where can I find more information?",,"I'm interested to organise an event at Marina Bay, where can I find more information?",Place Management,No Feedback,10/3/2019 14:50,1/13/2020 12:15,102,Benjamin Chow,General information on land sales
