,question_asked,answer_given,top_match,answer_taught,category,question_type,date_received,date_responded,response_time,processed_by,dialogflow_answers
0,non landed residentialvrental data,,,General information on property market,,No Feedback,10/5/2019 16:48,1/13/2020 13:00,100,Benjamin Chow,General info on buying and renovating private residential properties
1,i would to know the rental market yield,General information on property market,Top Match,General information on property market,,No Feedback,10/10/2019 17:43,1/13/2020 12:59,95,Benjamin Chow,Where can I find information on Singapore Property market?
2,rental,Catch all,Top Match,Catch all,,No Feedback,10/7/2019 16:30,1/13/2020 12:59,98,Benjamin Chow,General info on renting private residential property
3,Hi i would like to do a rental booking of the facilities hall,Catch all,Top Match,Are URA's conference and training facilities available for public to rent?,URA Rental,No Feedback,11/7/2019 8:38,1/13/2020 12:59,67,Benjamin Chow,Are URA's conference and training facilities available for public to rent?
4,when are the rental contract of private residential properties updated,,,General information on property market,,No Feedback,10/15/2019 11:02,1/13/2020 12:57,90,Benjamin Chow,General info on renting private residential property
5,when are the rental contract of private residential properties monthly report updated,,,General information on property market,,No Feedback,10/15/2019 11:03,1/13/2020 12:57,90,Benjamin Chow,General info on renting private residential property
6,Am I permitted to rental out private property under coliving arrangement,,,General info on renting private residential property,,No Feedback,10/27/2019 17:09,1/13/2020 12:56,78,Benjamin Chow,General info on renting private residential property
7,venue rental,Are URA's conference and training facilities available for public to rent?,Top Match,Are URA's conference and training facilities available for public to rent?,URA Rental,Incorrect,10/30/2019 11:46,1/13/2020 12:56,75,Benjamin Chow,Are URA's conference and training facilities available for public to rent?
8,i would like to transfer season parking temporarily to a rental car because new car not ready,,,Car Parks-Season Parking-Transfer,,No Feedback,11/15/2019 21:10,1/13/2020 12:56,59,Benjamin Chow,Car Parks-Season Parking
9,Is car rental and chauffeur services allowed under the home office scheme,General Info on Home Business,Top Match,General Info on Home Business,,No Feedback,11/20/2019 17:09,1/13/2020 12:55,54,Benjamin Chow,General Info on Home Business
10,I am looking for private rental transaction history for a particular development and no records are shown,Catch all,,General info for feedback on e-Service errors,,No Feedback,12/16/2019 10:38,1/13/2020 12:53,28,Benjamin Chow,General info for feedback on e-Service errors
